name	electrode_name	type	units	sampling_frequency
ch000	e000	n/a	V	-1.0
ch001	e001	n/a	V	-1.0
ch002	e002	n/a	V	-1.0
ch003	e003	n/a	V	-1.0
ch004	e004	n/a	V	-1.0
ch005	e005	n/a	V	-1.0
ch006	e006	n/a	V	-1.0
ch007	e007	n/a	V	-1.0
ch008	e008	n/a	V	-1.0
ch009	e009	n/a	V	-1.0
ch010	e010	n/a	V	-1.0
ch011	e011	n/a	V	-1.0
ch012	e012	n/a	V	-1.0
ch013	e013	n/a	V	-1.0
ch014	e014	n/a	V	-1.0
ch015	e015	n/a	V	-1.0
ch016	e016	n/a	V	-1.0
ch017	e017	n/a	V	-1.0
ch018	e018	n/a	V	-1.0
ch019	e019	n/a	V	-1.0
ch020	e020	n/a	V	-1.0
ch021	e021	n/a	V	-1.0
ch022	e022	n/a	V	-1.0
ch023	e023	n/a	V	-1.0
ch024	e024	n/a	V	-1.0
ch025	e025	n/a	V	-1.0
ch026	e026	n/a	V	-1.0
ch027	e027	n/a	V	-1.0
ch028	e028	n/a	V	-1.0
ch029	e029	n/a	V	-1.0
ch030	e030	n/a	V	-1.0
ch031	e031	n/a	V	-1.0
ch032	e032	n/a	V	-1.0
ch033	e033	n/a	V	-1.0
ch034	e034	n/a	V	-1.0
ch035	e035	n/a	V	-1.0
ch036	e036	n/a	V	-1.0
ch037	e037	n/a	V	-1.0
ch038	e038	n/a	V	-1.0
ch039	e039	n/a	V	-1.0
ch040	e040	n/a	V	-1.0
ch041	e041	n/a	V	-1.0
ch042	e042	n/a	V	-1.0
ch043	e043	n/a	V	-1.0
ch044	e044	n/a	V	-1.0
ch045	e045	n/a	V	-1.0
ch046	e046	n/a	V	-1.0
ch047	e047	n/a	V	-1.0
ch048	e048	n/a	V	-1.0
ch049	e049	n/a	V	-1.0
ch050	e050	n/a	V	-1.0
ch051	e051	n/a	V	-1.0
ch052	e052	n/a	V	-1.0
ch053	e053	n/a	V	-1.0
ch054	e054	n/a	V	-1.0
ch055	e055	n/a	V	-1.0
ch056	e056	n/a	V	-1.0
ch057	e057	n/a	V	-1.0
ch058	e058	n/a	V	-1.0
ch059	e059	n/a	V	-1.0
ch060	e060	n/a	V	-1.0
ch061	e061	n/a	V	-1.0
ch062	e062	n/a	V	-1.0
ch063	e063	n/a	V	-1.0
ch064	e064	n/a	V	-1.0
ch065	e065	n/a	V	-1.0
ch066	e066	n/a	V	-1.0
ch067	e067	n/a	V	-1.0
ch068	e068	n/a	V	-1.0
ch069	e069	n/a	V	-1.0
ch070	e070	n/a	V	-1.0
ch071	e071	n/a	V	-1.0
ch072	e072	n/a	V	-1.0
ch073	e073	n/a	V	-1.0
ch074	e074	n/a	V	-1.0
ch075	e075	n/a	V	-1.0
ch076	e076	n/a	V	-1.0
ch077	e077	n/a	V	-1.0
ch078	e078	n/a	V	-1.0
ch079	e079	n/a	V	-1.0
ch080	e080	n/a	V	-1.0
ch081	e081	n/a	V	-1.0
ch082	e082	n/a	V	-1.0
ch083	e083	n/a	V	-1.0
ch084	e084	n/a	V	-1.0
ch085	e085	n/a	V	-1.0
ch086	e086	n/a	V	-1.0
ch087	e087	n/a	V	-1.0
ch088	e088	n/a	V	-1.0
ch089	e089	n/a	V	-1.0
ch090	e090	n/a	V	-1.0
ch091	e091	n/a	V	-1.0
ch092	e092	n/a	V	-1.0
ch093	e093	n/a	V	-1.0
ch094	e094	n/a	V	-1.0
ch095	e095	n/a	V	-1.0
ch096	e096	n/a	V	-1.0
ch097	e097	n/a	V	-1.0
ch098	e098	n/a	V	-1.0
ch099	e099	n/a	V	-1.0
ch100	e100	n/a	V	-1.0
ch101	e101	n/a	V	-1.0
ch102	e102	n/a	V	-1.0
ch103	e103	n/a	V	-1.0
ch104	e104	n/a	V	-1.0
ch105	e105	n/a	V	-1.0
ch106	e106	n/a	V	-1.0
ch107	e107	n/a	V	-1.0
ch108	e108	n/a	V	-1.0
ch109	e109	n/a	V	-1.0
ch110	e110	n/a	V	-1.0
ch111	e111	n/a	V	-1.0
ch112	e112	n/a	V	-1.0
ch113	e113	n/a	V	-1.0
ch114	e114	n/a	V	-1.0
ch115	e115	n/a	V	-1.0
ch116	e116	n/a	V	-1.0
ch117	e117	n/a	V	-1.0
ch118	e118	n/a	V	-1.0
ch119	e119	n/a	V	-1.0
ch120	e120	n/a	V	-1.0
ch121	e121	n/a	V	-1.0
ch122	e122	n/a	V	-1.0
ch123	e123	n/a	V	-1.0
ch124	e124	n/a	V	-1.0
ch125	e125	n/a	V	-1.0
ch126	e126	n/a	V	-1.0
ch127	e127	n/a	V	-1.0
ch128	e128	n/a	V	-1.0
ch129	e129	n/a	V	-1.0
ch130	e130	n/a	V	-1.0
ch131	e131	n/a	V	-1.0
ch132	e132	n/a	V	-1.0
ch133	e133	n/a	V	-1.0
ch134	e134	n/a	V	-1.0
ch135	e135	n/a	V	-1.0
ch136	e136	n/a	V	-1.0
ch137	e137	n/a	V	-1.0
ch138	e138	n/a	V	-1.0
ch139	e139	n/a	V	-1.0
ch140	e140	n/a	V	-1.0
ch141	e141	n/a	V	-1.0
ch142	e142	n/a	V	-1.0
ch143	e143	n/a	V	-1.0
ch144	e144	n/a	V	-1.0
ch145	e145	n/a	V	-1.0
ch146	e146	n/a	V	-1.0
ch147	e147	n/a	V	-1.0
ch148	e148	n/a	V	-1.0
ch149	e149	n/a	V	-1.0
ch150	e150	n/a	V	-1.0
ch151	e151	n/a	V	-1.0
ch152	e152	n/a	V	-1.0
ch153	e153	n/a	V	-1.0
ch154	e154	n/a	V	-1.0
ch155	e155	n/a	V	-1.0
ch156	e156	n/a	V	-1.0
ch157	e157	n/a	V	-1.0
ch158	e158	n/a	V	-1.0
ch159	e159	n/a	V	-1.0
ch160	e160	n/a	V	-1.0
ch161	e161	n/a	V	-1.0
ch162	e162	n/a	V	-1.0
ch163	e163	n/a	V	-1.0
ch164	e164	n/a	V	-1.0
ch165	e165	n/a	V	-1.0
ch166	e166	n/a	V	-1.0
ch167	e167	n/a	V	-1.0
ch168	e168	n/a	V	-1.0
ch169	e169	n/a	V	-1.0
ch170	e170	n/a	V	-1.0
ch171	e171	n/a	V	-1.0
ch172	e172	n/a	V	-1.0
ch173	e173	n/a	V	-1.0
ch174	e174	n/a	V	-1.0
ch175	e175	n/a	V	-1.0
ch176	e176	n/a	V	-1.0
ch177	e177	n/a	V	-1.0
ch178	e178	n/a	V	-1.0
ch179	e179	n/a	V	-1.0
ch180	e180	n/a	V	-1.0
ch181	e181	n/a	V	-1.0
ch182	e182	n/a	V	-1.0
ch183	e183	n/a	V	-1.0
ch184	e184	n/a	V	-1.0
ch185	e185	n/a	V	-1.0
ch186	e186	n/a	V	-1.0
ch187	e187	n/a	V	-1.0
ch188	e188	n/a	V	-1.0
ch189	e189	n/a	V	-1.0
ch190	e190	n/a	V	-1.0
ch191	e191	n/a	V	-1.0
ch192	e192	n/a	V	-1.0
ch193	e193	n/a	V	-1.0
ch194	e194	n/a	V	-1.0
ch195	e195	n/a	V	-1.0
ch196	e196	n/a	V	-1.0
ch197	e197	n/a	V	-1.0
ch198	e198	n/a	V	-1.0
ch199	e199	n/a	V	-1.0
ch200	e200	n/a	V	-1.0
ch201	e201	n/a	V	-1.0
ch202	e202	n/a	V	-1.0
ch203	e203	n/a	V	-1.0
ch204	e204	n/a	V	-1.0
ch205	e205	n/a	V	-1.0
ch206	e206	n/a	V	-1.0
ch207	e207	n/a	V	-1.0
ch208	e208	n/a	V	-1.0
ch209	e209	n/a	V	-1.0
ch210	e210	n/a	V	-1.0
ch211	e211	n/a	V	-1.0
ch212	e212	n/a	V	-1.0
ch213	e213	n/a	V	-1.0
ch214	e214	n/a	V	-1.0
ch215	e215	n/a	V	-1.0
ch216	e216	n/a	V	-1.0
ch217	e217	n/a	V	-1.0
ch218	e218	n/a	V	-1.0
ch219	e219	n/a	V	-1.0
ch220	e220	n/a	V	-1.0
ch221	e221	n/a	V	-1.0
ch222	e222	n/a	V	-1.0
ch223	e223	n/a	V	-1.0
ch224	e224	n/a	V	-1.0
ch225	e225	n/a	V	-1.0
ch226	e226	n/a	V	-1.0
ch227	e227	n/a	V	-1.0
ch228	e228	n/a	V	-1.0
ch229	e229	n/a	V	-1.0
ch230	e230	n/a	V	-1.0
ch231	e231	n/a	V	-1.0
ch232	e232	n/a	V	-1.0
ch233	e233	n/a	V	-1.0
ch234	e234	n/a	V	-1.0
ch235	e235	n/a	V	-1.0
ch236	e236	n/a	V	-1.0
ch237	e237	n/a	V	-1.0
ch238	e238	n/a	V	-1.0
